Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product	Checked out by
378481..379764	+	427	15900319	tig	SP_0400	-	COG0544O	trigger factor	
581579..582358	+	259	15900522	-	SP_0614	-	COG0627R	tributyrin esterase	
1786682..1788649	-	655	15901712	-	SP_1884	-	COG1263G	"trehalose PTS system, IIABC components"	
1788834..1789544	+	236	15901713	-	SP_1885	-	COG2188K	trehalose operon transcriptional repressor	
1404942..1405241	-	99	15901344	-	SP_1496	-	COG3335L	"transposase, IS630-Spn1 related, Orf2"	
765527..766036	+	169	15900703	-	SP_0811	-	COG3335L	transposase	
1766305..1767114	-	269	15901687	-	SP_1859	-	COG3201H	transporter	
102245..103411	-	388	15900044	-	SP_0101	-	COG2807P	transporter	
1045647..1046825	+	392	15900983	-	SP_1116	-	-	transporter	
567791..569170	+	459	15900509	-	SP_0601	-	COG4591M	transmembrane protein Vexp3	
565916..567079	+	387	15900507	-	SP_0599	-	COG4591M	transmembrane protein Vexp1	
907315..907872	+	185	15900836	infC	SP_0959	-	COG0290J	translation initiation factor IF-3	
523124..526000	+	958	15900468	infB	SP_0556	-	COG0532J	translation initiation factor IF-2	
205316..205534	+	72	15900168	infA	SP_0232	-	COG0361J	translation initiation factor IF-1	
2038796..2039728	-	310	15901941	-	SP_2127	-	COG3958G	"transketolase, C-terminal subunit"	
2039725..2040582	-	285	15901942	-	SP_2128	-	COG3959G	transketolase	
1515589..1517556	-	655	118090030	recP-1	SP_1615	-	COG0021G	transketolase	
1935028..1937004	-	658	15901851	-	SP_2030	-	COG0021G	transketolase	
1488714..1489502	-	262	15901426	-	SP_1584	-	COG4465K	transcriptional repressor CodY	
691619..692020	+	133	15900624	-	SP_0727	-	COG3682K	transcriptional repressor	
1343684..1343923	-	79	15901276	-	SP_1423	-	COG1476K	transcriptional repressor	
843981..844451	-	156	15900776	-	SP_0893	-	COG1438K	transcriptional repressor	
1136890..1137321	-	143	15901066	-	SP_1203	-	COG1438K	transcriptional repressor	
1987541..1987987	-	148	15901894	-	SP_2077	-	COG1438K	transcriptional repressor	
180894..181292	+	132	15900126	spxA	SP_0189	-	COG1393P	transcriptional regulator Spx	
1326858..1327259	-	133	15901259	spxA	SP_1405	-	COG1393P	transcriptional regulator Spx	
1849039..1849902	-	287	15901770	-	SP_1946	-	COG1476K	transcriptional regulator PlcR	
159192..160058	+	288	15900101	-	SP_0163	-	COG1396K	transcriptional regulator PlcR	
993954..994820	+	288	15900927	-	SP_1057	-	COG1396K	transcriptional regulator PlcR	
1892864..1893763	-	299	15901812	-	SP_1989	-	-	transcriptional regulator PlcR	
1616852..1617325	-	157	15901547	nrdR	SP_1713	-	COG1327K	transcriptional regulator NrdR	
1044704..1045567	+	287	15900982	-	SP_1115	-	-	transcriptional regulator MutR	
1914134..1914613	-	159	15901829	-	SP_2006	-	-	transcriptional regulator ComX2	
14450..14929	+	159	15899963	-	SP_0014	-	-	transcriptional regulator ComX1	
279127..280608	+	493	15900239	-	SP_0306	-	COG3711K	transcriptional regulator	
374103..376058	+	651	15900315	-	SP_0395	-	COG3711K	transcriptional regulator	
553626..553838	+	70	15900493	-	SP_0584	-	COG3620K	transcriptional regulator	
1064469..1065317	-	282	15900996	-	SP_1130	-	COG2944K	transcriptional regulator	
1722233..1723384	-	383	15901638	-	SP_1809	-	COG2856E	transcriptional regulator	
216751..217731	+	326	15900182	-	SP_0247	-	COG2390K	transcriptional regulator	
860839..862968	+	709	15900789	-	SP_0908	-	COG2183K	transcriptional regulator	
1693715..1694176	+	153	15901603	-	SP_1774	-	COG1846K	transcriptional regulator	
305237..305431	-	64	15900264	-	SP_0333	-	COG1476K	transcriptional regulator	
1065437..1065790	+	117	15900997	-	SP_1131	-	COG1476K	transcriptional regulator	
2031477..2031692	-	71	15901934	-	SP_2119	-	COG1476K	transcriptional regulator	
988052..988528	+	158	15900920	-	SP_1050	-	COG1396K	transcriptional regulator	
1845975..1846991	-	338	15901766	-	SP_1942	-	COG1316K	transcriptional regulator	
682123..682791	+	222	15900613	-	SP_0716	-	COG0819K	transcriptional regulator	
650815..651783	-	322	15900577	-	SP_0676	-	COG0583K	transcriptional regulator	
139839..140702	+	287	15900079	-	SP_0141	-	COG0156H	transcriptional regulator	
436303..437832	-	509	15900377	-	SP_0461	-	-	transcriptional regulator	
1998138..1998578	-	146	15901905	-	SP_2090	-	-	transcriptional regulator	
687609..688301	+	230	15900619	-	SP_0722	-	COG0819K	transcriptional activator TenA	
1716678..1718159	-	493	15901629	-	SP_1800	-	COG3711K	transcriptional activator	
4952..8461	+	1169	15899955	-	SP_0006	-	COG1197LK	transcription-repair coupling factor	
521364..522500	+	378	15900465	nusA	SP_0553	-	COG0195K	transcription elongation factor NusA	
1424808..1425290	-	160	15901363	greA	SP_1517	-	COG0782K	transcription elongation factor GreA	
543164..544003	+	279	15900486	-	SP_0576	-	COG3711K	transcription antiterminator Lict	
1124828..1125664	-	278	15901052	-	SP_1187	-	COG3711K	transcription antiterminator LacT	
1520597..1522060	-	487	118090041	-	SP_1621	-	COG3711K	transcription antiterminator BglG family protein	
1914735..1915271	-	178	15901830	nusG	SP_2007	-	COG0250K	transcription antitermination protein NusG	
407504..407926	-	140	15900351	nusB	SP_0433	-	COG0781K	transcription antitermination protein NusB	
1855865..1857961	+	698	15901777	-	SP_1953	-	COG2274V	toxin secretion ABC transporter ATP-binding protein/permease	
785809..786333	-	174	15900724	-	SP_0837	-	COG0563F	topology modulation protein	
992017..993840	+	607	15900926	-	SP_1056	-	COG3843U	"Tn5252, relaxase"	
991665..992030	+	121	15900925	-	SP_1055	-	-	"Tn5252, ORF 9 protein"	
991304..991660	+	118	15900924	-	SP_1054	-	-	"Tn5252, ORF 10 protein"	
645132..645971	+	279	15900570	thyA	SP_0669	-	COG0207F	thymidylate synthase	
887470..888108	+	212	15900815	tmk	SP_0935	-	COG0125F	thymidylate kinase	
962374..962973	+	199	15900889	-	SP_1018	-	COG1435F	thymidine kinase	
1530556..1532499	+	647	15901467	thrS	SP_1631	-	COG0441J	threonyl-tRNA synthetase	
1966877..1968361	-	494	15901885	-	SP_2066	-	COG0498E	threonine synthase	
421693..422943	+	416	15900367	-	SP_0450	-	COG1171E	threonine dehydratase	
1374321..1375232	-	303	15901308	-	SP_1458	-	COG0492O	thioredoxin reductase	
1694513..1694827	+	104	15901605	-	SP_1776	-	COG3118O	thioredoxin	
629698..630264	+	188	15900560	-	SP_0659	-	COG0526OC	thioredoxin	
940874..941431	+	185	15900873	-	SP_1000	-	COG0526OC	thioredoxin	
1824358..1824675	-	105	15901736	-	SP_1911	-	COG0526OC	thioredoxin	
1550491..1551009	+	172	255964977	tpx	SP_1651	-	COG2077O	thiol peroxidase	
683812..684441	+	209	15900615	-	SP_0718	-	COG0352H	thiamine-phosphate pyrophosphorylase	
689626..690258	+	210	15900622	thiE	SP_0725	-	COG0352H	thiamine-phosphate pyrophosphorylase	
830455..831669	+	404	15900764	-	SP_0881	-	COG0301H	thiamine biosynthesis protein ThiI	
1383203..1384126	+	307	15901320	-	SP_1470	-	COG1477H	thiamine biosynthesis protein ApbE	
889355..890224	+	289	15900818	-	SP_0938	-	COG0313R	tetrapyrrole methylase	
704947..705504	+	185	15900638	-	SP_0743	-	COG1309K	TetR family transcriptional regulator	
1765602..1766138	+	178	15901686	-	SP_1858	-	COG1309K	TetR family transcriptional regulator	
2154880..2155422	+	180	15902037	-	SP_2234	-	COG1309K	TetR family transcriptional regulator	
922626..923486	+	286	15900854	-	SP_0977	-	COG3615P	tellurite resistance protein TehB	
1127919..1128848	-	309	15901056	-	SP_1191	-	COG1105G	tagatose-6-phosphate kinase	
1126937..1127917	-	326	15901055	-	SP_1190	-	COG3684G	"tagatose 1,6-diphosphate aldolase"	
118423..120657	+	744	15900059	-	SP_0117	-	COG5263R	surface protein A	
642951..643949	+	332	15900568	-	SP_0667	-	COG5263R	surface protein	
725380..725985	+	201	15900660	-	SP_0766	-	COG0605P	"superoxide dismutase, manganese-dependent"	
69660..70826	+	388	15900010	-	SP_0065	-	COG2222M	sugar isomerase	
302969..303970	+	333	15900262	-	SP_0330	-	COG1609K	sugar binding transcriptional regulator RegR	
1582167..1583495	-	442	15901518	-	SP_1683	-	COG1653G	sugar ABC transporter substrate-binding protein	
1803124..1804383	-	419	15901724	-	SP_1897	-	COG1653G	sugar ABC transporter substrate-binding protein	
794144..795202	+	352	15900734	-	SP_0847	-	COG4603R	sugar ABC transporter permease	
1581049..1581945	-	298	15901517	-	SP_1682	-	COG1175G	sugar ABC transporter permease	
1802244..1803134	-	296	15901723	-	SP_1896	-	COG1175G	sugar ABC transporter permease	
795205..796161	+	318	15900735	-	SP_0848	-	COG1079R	sugar ABC transporter permease	
1580194..1581033	-	279	15901516	-	SP_1681	-	COG0395G	sugar ABC transporter permease	
1801397..1802233	-	278	15901722	-	SP_1895	-	COG0395G	sugar ABC transporter permease	
792616..794151	+	511	15900733	-	SP_0846	-	COG3845R	sugar ABC transporter ATP-binding protein	
1485135..1486265	-	376	15901422	-	SP_1580	-	COG3839G	sugar ABC transporter ATP-binding protein	
1627362..1628816	+	484	15901557	-	SP_1724	-	COG1621G	sucrose-6-phosphate hydrolase	
1710372..1711691	-	439	15901624	-	SP_1795	-	COG1621G	sucrose-6-phosphate hydrolase	
1799597..1801039	-	480	15901721	-	SP_1894	-	COG0366G	sucrose phosphorylase	
1628797..1629762	+	321	15901558	-	SP_1725	-	COG1609K	sucrose operon repressor	
965357..965956	+	199	15900893	-	SP_1022	-	COG0009J	Sua5/YciO/YrdC family protein	
922143..922610	+	155	15900853	smpB	SP_0976	-	COG0691O	SsrA-binding protein	
2160068..2160826	+	252	15902043	-	SP_2240	-	COG1475K	spspoJ protein	
1373554..1374282	+	242	15901307	-	SP_1457	-	COG0566J	spoU rRNA methylase	
1878795..1879535	-	246	15901796	-	SP_1973	-	COG0566J	spoU rRNA methylase	
1946561..1947385	-	274	15901862	-	SP_2041	-	COG0706U	SpoIIIJ family protein	
826390..828693	+	767	15900761	-	SP_0878	-	COG1674D	SpoE family protein	
1310219..1311289	-	356	15901240	-	SP_1386	-	COG0687E	spermidine/putrescine ABC transporter spermidine/putrescine-binding protein	
1311286..1312059	-	257	15901241	-	SP_1387	-	COG1177E	spermidine/putrescine ABC transporter permease	
1312056..1312883	-	275	15901242	-	SP_1388	-	COG1176E	spermidine/putrescine ABC transporter permease	
1312843..1314000	-	385	15901243	-	SP_1389	-	COG3842E	spermidine/putrescine ABC transporter ATP-binding protein	
872282..873142	+	286	15900798	-	SP_0918	-	COG0421E	spermidine synthase	
444858..445697	+	279	15900382	-	SP_0466	-	COG3764M	sortase	
445792..446577	+	261	15900383	-	SP_0467	-	COG3764M	sortase	
446564..447415	+	283	15900384	-	SP_0468	-	COG3764M	sortase	
625664..627718	+	684	118090028	-	SP_0655	-	COG0025P	sodium/hydrogen exchanger family protein	
1252110..1253651	-	513	15901182	-	SP_1328	-	COG0591ER	sodium:solute symporter family protein	
387673..388995	+	440	15900327	-	SP_0408	-	COG1115E	sodium:alanine symporter family protein	
699905..701176	-	423	15900632	-	SP_0737	-	COG0733R	sodium-dependent transporter	
1430072..1433170	-	1032	15901369	-	SP_1523	-	COG0553KL	Snf2 family protein	
1094109..1095179	+	356	15901024	xerS	SP_1159	-	COG4974L	site-specific tyrosine recombinase XerS	
1780719..1781459	-	246	15901705	xerD	SP_1877	-	COG4974L	site-specific tyrosine recombinase XerD	
577452..579674	+	740	118090027	-	SP_0611	-	COG0608L	single-stranded-DNA-specific exonuclease RecJ	
1448867..1449337	-	156	15901384	-	SP_1540	-	COG0629L	single-stranded DNA-binding protein	
1822440..1822835	-	131	118090033	-	SP_1908	-	COG0629L	single-stranded DNA-binding protein	
1176088..1177377	-	429	15901105	-	SP_1244	-	COG0552U	signal recognition particle-docking protein FtsY	
1221980..1223551	-	523	15901147	-	SP_1287	-	COG0541U	signal recognition particle protein	
382457..383071	-	204	15900321	-	SP_0402	-	COG0681U	signal peptidase I	
1822913..1823674	-	253	15901734	-	SP_1909	-	COG4221R	short chain dehydrogenase/reductase family oxidoreductase	
650006..650761	+	251	15900576	-	SP_0675	-	COG0300R	short chain dehydrogenase/reductase family oxidoreductase	
1293304..1293780	-	158	15901224	-	SP_1370	-	COG0703E	shikimate kinase	
1298872..1299726	-	284	15901230	aroE	SP_1376	-	COG0169E	shikimate 5-dehydrogenase	
390795..392069	-	424	15900330	-	SP_0411	-	COG0172J	seryl-tRNA synthetase	
1134486..1135214	-	242	15901064	-	SP_1201	-	COG0639T	serine/threonine protein phosphatase	
1634699..1636678	-	659	15901564	-	SP_1732	-	COG2815S	serine/threonine protein kinase	
1857994..1859397	+	467	118090034	-	SP_1954	-	COG1404O	serine protease subtilase	
603895..610317	+	2140	15900547	-	SP_0641	-	COG1404O	serine protease	
2158829..2160010	+	393	15902042	-	SP_2239	-	COG0265O	serine protease	
966451..967707	+	418	15900895	glyA	SP_1024	-	COG0112E	serine hydroxymethyltransferase	
560192..560809	+	205	15900498	-	SP_0589	-	COG1045E	serine acetyltransferase	
762516..764243	+	575	15900700	-	SP_0807	-	COG4477D	septation ring formation regulator EzrA	
1158113..1159462	-	449	15901088	-	SP_1226	-	COG5002T	sensory box sensor histidine kinase	
570135..571463	+	442	15900512	-	SP_0604	-	COG0642T	sensor histidine kinase VncS	
1991949..1993280	+	443	15901899	-	SP_2083	-	COG5002T	sensor histidine kinase PnpS	
2156414..2157739	-	441	15902039	-	SP_2236	-	COG2972T	sensor histidine kinase ComD	
752626..753960	+	444	15900692	-	SP_0799	-	COG0642T	sensor histidine kinase CiaH	
506312..507652	+	446	15900441	-	SP_0527	-	COG2972T	sensor histidine kinase BlpH	
89733..90785	+	350	15900028	-	SP_0084	-	COG5002T	sensor histidine kinase	
365891..366886	+	331	15900309	-	SP_0386	-	COG4585T	sensor histidine kinase	
1904349..1905446	-	365	15901824	-	SP_2001	-	COG4585T	sensor histidine kinase	
151922..153568	+	548	15900093	-	SP_0155	-	COG2972T	sensor histidine kinase	
632389..634080	+	563	15900563	-	SP_0662	-	COG2972T	sensor histidine kinase	
1532548..1533522	-	324	15901468	-	SP_1632	-	COG0642T	sensor histidine kinase	
2112785..2114116	-	443	15901999	-	SP_2192	-	COG0642T	sensor histidine kinase	
1779403..1779972	-	189	15901703	scpB	SP_1875	-	COG1386K	segregation and condensation protein B	
1779991..1780719	-	242	15901704	scpA	SP_1876	-	COG1354S	segregation and condensation protein A	
1226601..1227599	+	332	15901152	-	SP_1292	-	-	SAP domain-containing protein	
8519..8785	+	88	15899956	-	SP_0007	-	COG1188J	S4 domain-containing protein	
313124..313606	-	160	15900270	-	SP_0340	-	COG1854T	S-ribosylhomocysteinase	
1334625..1335653	+	342	15901270	queA	SP_1416	-	COG0809J	S-adenosylmethionine--tRNA ribosyltransferase-isomerase	
721458..722648	+	396	15900656	-	SP_0762	-	COG0192H	S-adenosylmethionine synthetase	
305597..306547	+	316	15900265	mraW	SP_0334	-	COG0275M	S-adenosyl-methyltransferase MraW	
1637430..1638743	-	437	15901566	-	SP_1734	-	COG0144J	rRNA methyltransferase RsmB	
2158167..2158646	-	159	15902041	-	SP_2238	-	COG1576S	rRNA large subunit methyltransferase	
2013137..2013985	+	282	15901918	-	SP_2103	-	COG2226H	rRNA (guanine-N1-)-methyltransferase	
1535882..1536319	-	145	15901472	-	SP_1636	-	COG1959K	Rrf2 family protein	
165235..165468	+	77	15900108	-	SP_0171	-	COG1940KG	ROK family protein	
450739..451962	-	407	15900388	-	SP_0473	-	COG1940KG	ROK family protein	
1247213..1248103	-	296	15901178	-	SP_1324	-	COG1940KG	ROK family protein	
1576120..1577004	-	294	15901510	-	SP_1675	-	COG1940KG	ROK family protein	
2052446..2053315	-	289	15901955	-	SP_2142	-	COG1940KG	ROK family protein	
2136539..2137033	-	164	15902021	-	SP_2217	-	COG2891M	rod shpae-determining protein MreD	
758037..759260	+	407	15900696	-	SP_0803	-	COG0772D	rod shape-determining protein RodA	
2137033..2137851	-	272	15902022	-	SP_2218	-	COG1792M	rod shape-determining protein MreC	
1010183..1011292	+	369	15900942	-	SP_1073	-	COG0568K	RNA polymerase sigma factor RpoD	
970425..972056	+	543	15900900	-	SP_1029	-	COG2265J	RNA methyltransferase	
1815445..1816755	-	436	15901728	-	SP_1901	-	COG2265J	RNA methyltransferase	
466595..467098	+	167	15900400	-	SP_0486	-	COG0219J	RNA methyltransferase	
1887071..1887727	-	218	15901806	-	SP_1983	-	COG0036G	ribulose-phosphate 3-epimerase	
526251..526601	+	116	15900469	rbfA	SP_0557	-	COG0858J	ribosome-binding factor A	
1887738..1888616	-	292	15901807	-	SP_1984	-	COG1162R	ribosome-associated GTPase	
895124..895681	+	185	15900824	frr	SP_0945	-	COG0233J	ribosome recycling factor	
1475387..1475974	-	195	15901411	engB	SP_1568	-	COG0218R	ribosome biogenesis GTP-binding protein YsxC	
128980..129417	+	145	15900070	-	SP_0128	-	COG0456R	ribosomal-protein-alanine acetyltransferase	
2127117..2127665	-	182	15902013	-	SP_2206	-	COG1544J	ribosomal subunit interface protein	
257589..258311	+	240	15900214	-	SP_0280	-	COG1187J	ribosomal small subunit pseudouridine synthase A	
652792..653517	-	241	15900581	-	SP_0680	-	COG1187J	ribosomal small subunit pseudouridine synthase A	
726674..727759	+	361	15900662	-	SP_0768	-	COG0820R	ribosomal RNA large subunit methyltransferase N	
881298..882185	+	295	15900809	-	SP_0929	-	COG0564J	ribosomal large subunit pseudouridine synthase D	
1031946..1032842	+	298	15900967	-	SP_1099	-	COG0564J	ribosomal large subunit pseudouridine synthase D	
1917999..1918874	+	291	15901834	-	SP_2011	-	COG0564J	ribosomal large subunit pseudouridine synthase D	
1778694..1779416	-	240	15901702	-	SP_1874	-	COG1187J	ribosomal large subunit pseudouridine synthase B	
1090342..1091193	+	283	15901020	rbgA	SP_1155	-	COG1161R	ribosomal biogenesis GTPase	
28862..29830	+	322	15899974	-	SP_0027	-	COG0462FE	ribose-phosphate pyrophosphokinase	
1028707..1029666	-	319	15900963	-	SP_1095	-	COG0462FE	ribose-phosphate pyrophosphokinase	
777729..778412	+	227	15900715	-	SP_0828	-	COG0120G	ribose-5-phosphate isomerase A	
1118577..1119539	+	320	15901045	nrdF	SP_1180	-	COG0208F	ribonucleotide-diphosphate reductase subunit beta	
1116230..1118389	+	719	15901044	-	SP_1179	-	COG0209F	ribonucleotide-diphosphate reductase subunit alpha	
649056..649985	+	309	15900575	-	SP_0674	-	COG1234R	ribonuclease Z	
1947360..1947731	-	123	15901863	rnpA	SP_2042	-	COG0594J	ribonuclease P	
1182520..1183218	-	232	15901109	rnc	SP_1248	-	COG0571K	ribonuclease III	
383075..383956	-	293	15900322	-	SP_0403	-	COG1039L	ribonuclease HIII	
1091180..1091959	+	259	15901021	rnhB	SP_1156	-	COG0164L	ribonuclease HII	
627897..628757	+	286	15900558	-	SP_0657	-	COG1295S	ribonuclease BN	
169718..170353	-	211	15900114	-	SP_0177	-	COG0307H	riboflavin synthase subunit alpha	
170338..171438	-	366	15900115	-	SP_0178	-	COG1985H	riboflavin biosynthesis protein RibD	
2155665..2156417	-	250	15902038	-	SP_2235	-	COG3279KT	response regulator ComE	
505561..506298	+	245	15900440	-	SP_0526	-	COG3279KT	response regulator BlpR	
1991241..1991948	+	235	15901898	-	SP_2082	-	COG0745TK	response regulator	
