#
#  spne170187cyc 17.0 Pathways link table generated on Wed Sep 25, 2013
#
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	ureide biogenesis	inosine 5'-phosphate degradation	IMP degradation	urate biosynthesis
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	arginine degradation to spermidine	spermidine biosynthesis
PWY0-1264	biotin-carboxyl carrier protein assembly	BCCP assembly
PWY-5142	acyl-ACP thioesterase pathway	
PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol biosynthesis
PWY-5668	cardiolipin biosynthesis I	
PWY3O-450	phosphatidylcholine biosynthesis I	CDP-choline pathway
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)	
PWY-5973	<i>cis</i>-vaccenate biosynthesis	<i>cis</i> vaccenic acid acid biosynthesis
FASYN-ELONG-PWY	fatty acid elongation -- saturated	
PWY0-862	<i>cis</i>-dodecenoyl biosynthesis	fatty acid elongation -- unsaturated
PWY-5971	palmitate biosynthesis II (bacteria and plants)	palmitic acid biosynthesis	de novo lipogenesis
PWY-6282	palmitoleate biosynthesis I	palmitoleic acid biosynthesis I
PWY-5989	stearate biosynthesis II (bacteria and plants)	stearic acid biosynthesis
PWY-6018	seed germination protein turnover	
PWY-5988	wound-induced proteolysis I	
GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation	N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminic acid dissimilation
PWY0-1324	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation	
PWY0-41	allantoin degradation IV (anaerobic)	
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	glucosamine degradation	N-acetyl-glucosamine degradation
PWY-6517	<i>N</i>-acetylglucosamine degradation II	
IDNCAT-PWY	L-idonate degradation	L-idonic acid catabolism	L-idonate catabolism
MANNIDEG-PWY	mannitol degradation I	
GLYCEROLMETAB-PWY	glycerol degradation V	
PWY-6131	glycerol degradation II	
PWY-4261	glycerol degradation I	
PWY-5386	methylglyoxal degradation I	
ALANINE-DEG3-PWY	alanine degradation III	
ARGDEGRAD-PWY	arginine degradation V (arginine deiminase pathway)	arginine dihydrolase pathway	arginine deiminase degradation
ASPARAGINE-DEG1-PWY	asparagine degradation I	asparagine degradation 1
ASPARTATE-DEG1-PWY	aspartate degradation I	
GLUTAMINDEG-PWY	glutamine degradation I	glutamine - glutamate pathway I	glutamine degradation IV
ILEUDEG-PWY	isoleucine degradation I	
LEU-DEG2-PWY	leucine degradation I	
PWY-5314	lysine degradation VIII	
PWY0-461	lysine degradation I	
CITRULLINE-DEG-PWY	citrulline degradation	
THRDLCTCAT-PWY	threonine degradation III (to methylglyoxal)	threonine D-lactate catabolism	threonine catabolism
TRPKYNCAT-PWY	tryptophan degradation IV (via indole-3-lactate)	tryptophan kynurenine degradation
PWY-5057	valine degradation II	Ehrlich pathway
VALDEG-PWY	valine degradation I	
PWY-5493	reductive monocarboxylic acid cycle	reductive monocarboxylate cycle
PWY-1722	formaldehyde oxidation V (tetrahydrofolate pathway)	
PWY0-321	phenylacetate degradation I (aerobic)	
PWY0-1312	acetate formation from acetyl-CoA I	
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)	ascorbic acid degradation I
PWY-6028	acetoin degradation	
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	
PWY0-1301	melibiose degradation	
PWY-6901	xylose degradation IV	
MANNCAT-PWY	D-mannose degradation	mannose degradation
PWY0-44	D-allose degradation	D-allose catabolism
FUCCAT-PWY	fucose degradation	fucose catabolism
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	
PWY0-1314	fructose degradation	
PWY-6317	galactose degradation I (Leloir pathway)	Leloir pathway
LACTOSECAT-PWY	lactose and galactose degradation I	lactose degradation 1	lactose 6-P degradation I	lactose 6-phosphate degradation	lactose 6'-phosphate degradation
BGALACT-PWY	lactose degradation III	lactose degradation 3
SUCUTIL-PWY	sucrose degradation I	sucrose degradation 1
PWY-5941	glycogen degradation II	glycogenolysis II
LIPAS-PWY	triacylglycerol degradation	triacylglyceride degradation	triacylglycerol hydrolysis	lipolysis
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	
PWY-5497	purine nucleotides degradation IV (anaerobic)	purine fermentation
PWY-7179	purine deoxyribonucleosides degradation to 2'-deoxyribose-1-phosphate	
PWY0-1296	purine ribonucleosides degradation to ribose-1-phosphate	
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	
PWY-7181	pyrimidine deoxyribonucleosides degradation to 2'-deoxyribose 1-phosphate	
PWY0-1295	pyrimidine ribonucleosides degradation I	
PWY-7096	triclosan resistance	
PWY0-781	aspartate superpathway	
