#
#  spne487213cyc 17.0 Pathways link table generated on Wed Sep 25, 2013
#
PPGPPMET-PWY	ppGpp biosynthesis	guanosine 3'-diphosphate 5'-diphosphate biosynthesis
PWY66-385	dTMP <i>de novo</i> biosynthesis (mitochondrial)	
PWY-6700	queuosine biosynthesis	
PWY0-1479	tRNA processing	
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	
PWY-6123	inosine-5'-phosphate biosynthesis I	IMP biosynthesis I
PWY-6124	inosine-5'-phosphate biosynthesis II	IMP biosynthesis II
SALVPURINE2-PWY	xanthine and xanthosine salvage	
P121-PWY	adenine and adenosine salvage I	purine salvage	salvage pathway of adenosine nucleosides	adenosine nucleosides salvage I
PWY-6605	adenine and adenosine salvage II	adenosine nucleosides salvage II
PWY-6620	guanine and guanosine salvage I	
PWY-6599	guanine and guanosine salvage II	
PWY-6556	pyrimidine ribonucleosides degradation II	
PWY-7183	uracil and uridine salvage I	
PWY0-163	pyrimidine ribonucleotides salvage	
PWY0-181	salvage pathways of pyrimidine deoxyribonucleotides	deoxypyrimidine nucleotide/nucleoside metabolism
PWY-7176	UTP and CTP biosynthesis	
PWY-5686	UMP biosynthesis	uridine-5'-phosphate biosynthesis	<i>de novo</i> biosynthesis of uridine-5'-phosphate	<i>de novo</i> biosynthesis of uridine-5'-monophosphate
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	ureide biogenesis	inosine 5'-phosphate degradation	IMP degradation	urate biosynthesis
PWY-43	putrescine biosynthesis II	
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	arginine degradation to spermidine	spermidine biosynthesis
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis
PWY-7054	<i>N</i>-acetylglutaminylglutamine amide biosynthesis	
PWY0-662	PRPP biosynthesis I	5-phosphoribosyl 1-pyrophosphate biosynthesis
TEICHOICACID-PWY	teichoic acid (poly-glycerol) biosynthesis	major teichoic acid biosynthesis	glycerol teichoic acid biosynthesis
PWY-6386	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis III (<i>meso</i>-DAP-containing)	
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	
PWY-6012	acyl carrier protein metabolism	[acp] metabolism	ACP metabolism
SAM-PWY	S-adenosyl-L-methionine biosynthesis	S-adenosylmethionine biosynthesis
PWY-5964	guanylyl molybdenum cofactor biosynthesis	MGD biosynthesis	molybdopterin guanine dinucleotide biosynthesis
COA-PWY	coenzyme A biosynthesis	CoA biosynthesis
PWY-6984	lipoate salvage II	
PWY0-522	lipoate salvage I	
PYRIDNUCSAL-PWY	NAD salvage pathway I	pyridine nucleotide cycling	PNC pathway	nicotinamide adenine dinucleotide salvage
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	nicotinamide adenine dinucleotide biosynthesis
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	
NONMEVIPP-PWY	methylerythritol phosphate pathway	nonmevalonate isopentenyl diphosphate biosynthesis	methylerythritol phosphate degradation	MEP degradation	deoxyxylulose phosphate pathway	DOXP pathway	Rohmer pathway	isopentenyl diphosphate biosynthesis -- mevalonate-independent	nonmevalonate isoprenoid pathway	MEP pathway
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	FPP biosynthesis	<i>trans, trans</i>-farnesyl diphosphate biosynthesis
HEMESYN2-PWY	heme biosynthesis from uroporphyrinogen-III II	
THIOREDOX-PWY	thioredoxin pathway	
GLUT-REDOX-PWY	glutathione redox reactions II	
GLUTATHIONESYN-PWY	glutathione biosynthesis	
PWY0-1507	biotin biosynthesis from 7-keto-8-aminopelargonate	
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	riboflavin, FMN and FAD biosynthesis	vitamin B<sub>2</sub> biosynthesis
PWY-6543	4-aminobenzoate biosynthesis	pABA biosynthesis	plastidial PABA biosynthesis	PABA biosynthesis in plastids	<i>p</i>-aminobenzoate biosynthesis
1CMET2-PWY	formylTHF biosynthesis I	
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	folic acid salvage	folate salvage	THF salvage
PWY-2201	folate transformations I	
PWY-6614	tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
PWY-2161	folate polyglutamylation	
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	HMP-PP biosynthesis
PWY-6892	thiazole biosynthesis I (E. coli)	(<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
PWY-6894	thiamin diphosphate biosynthesis I (E. coli)	thiamine diphosphate biosynthesis	vitamin B<sub>1</sub> biosynthesis
PWY-6907	thiamin diphosphate biosynthesis III (Staphylococcus)	vitamin B<sub>1</sub> biosynthesis III
PWY-6893	thiamin diphosphate biosynthesis II (Bacillus)	vitamin B<sub>1</sub> biosynthesis II
PWY-6898	thiamin salvage III	
PWY-6910	hydroxymethylpyrimidine salvage	HMP salvage
PWY-6466	pyridoxal 5'-phosphate biosynthesis II	vitamin B6 biosynthesis
PWY-5901	2,3-dihydroxybenzoate biosynthesis	
PWY-6164	3-dehydroquinate biosynthesis I	
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	
PWY-5921	L-glutamine biosynthesis II (tRNA-dependent)	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
HOMOSERSYN-PWY	homoserine biosynthesis	
GLUTORN-PWY	ornithine biosynthesis	
PHESYN	phenylalanine biosynthesis I	
PROSYN-PWY	proline biosynthesis I	
HOMOSER-THRESYN-PWY	threonine biosynthesis from homoserine	
TRPSYN-PWY	tryptophan biosynthesis	
TYRSYN	tyrosine biosynthesis I	
VALSYN-PWY	valine biosynthesis	
PWY0-1021	alanine biosynthesis III	
ALANINE-VALINESYN-PWY	alanine biosynthesis I	
ASPARAGINESYN-PWY	asparagine biosynthesis II	asparagine - aspartate pathway
ASPARTATESYN-PWY	aspartate biosynthesis	aspartate biosynthesis and degradation
CYSTSYN-PWY	cysteine biosynthesis I	
GLUTAMATE-SYN2-PWY	glutamate biosynthesis II	
GLUTSYNIII-PWY	glutamate biosynthesis III	
GLNSYN-PWY	glutamine biosynthesis I	glutamine - glutamate pathway
GLYSYN-PWY	glycine biosynthesis I	
ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	
LEUSYN-PWY	leucine biosynthesis	
HSERMETANA-PWY	methionine biosynthesis III	homoserine methionine biosynthesis	methionine biosynthesis by sulfhydrylation
HOMOSER-METSYN-PWY	methionine biosynthesis I	methionine biosynthesis from homoserine	methionine biosynthesis by transsulfuration
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	
GLYCOCAT-PWY	glycogen degradation I	glycogen catabolism
PWY-5659	GDP-mannose biosynthesis	
PWY-6644	fluoroacetate and fluorothreonine biosynthesis	
PWY-2301	<i>myo</i>-inositol biosynthesis	
PWY-7089	taxiphyllin bioactivation	
IDNCAT-PWY	L-idonate degradation	L-idonic acid catabolism	L-idonate catabolism
PWY-4101	sorbitol degradation I	sorbitol utilization
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	glucosamine degradation	N-acetyl-glucosamine degradation
PWY-4261	glycerol degradation I	
PWY-6131	glycerol degradation II	
GLYCEROLMETAB-PWY	glycerol degradation V	
PWY-6952	glycerophosphodiester degradation	
ARGDEG-III-PWY	arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	
ASPARAGINE-DEG1-PWY	asparagine degradation I	asparagine degradation 1
ASPARTATE-DEG1-PWY	aspartate degradation I	
PWY-5766	glutamate degradation X	
GLUTAMINDEG-PWY	glutamine degradation I	glutamine - glutamate pathway I	glutamine degradation IV
ILEUDEG-PWY	isoleucine degradation I	
CITRULLINE-DEG-PWY	citrulline degradation	
SERDEG-PWY	L-serine degradation	
THRDLCTCAT-PWY	threonine degradation III (to methylglyoxal)	threonine D-lactate catabolism	threonine catabolism
TRPKYNCAT-PWY	tryptophan degradation IV (via indole-3-lactate)	tryptophan kynurenine degradation
VALDEG-PWY	valine degradation I	
PWY-5057	valine degradation II	Ehrlich pathway
PWY-5493	reductive monocarboxylic acid cycle	reductive monocarboxylate cycle
PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	
PWY-6510	methanol oxidation to formaldehyde II	
PWY-5074	mevalonate degradation	
PWY0-1312	acetate formation from acetyl-CoA I	
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)	ascorbic acid degradation I
PWY-5941	glycogen degradation II	glycogenolysis II
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	
MANNCAT-PWY	D-mannose degradation	mannose degradation
PWY0-1314	fructose degradation	
PWY0-44	D-allose degradation	D-allose catabolism
PWY0-1324	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation	
PWY0-1301	melibiose degradation	
FUCCAT-PWY	fucose degradation	fucose catabolism
LACTOSECAT-PWY	lactose and galactose degradation I	lactose degradation 1	lactose 6-P degradation I	lactose 6-phosphate degradation	lactose 6'-phosphate degradation
PWY-6317	galactose degradation I (Leloir pathway)	Leloir pathway
BGALACT-PWY	lactose degradation III	lactose degradation 3
SUCUTIL-PWY	sucrose degradation I	sucrose degradation 1
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)	
LIPAS-PWY	triacylglycerol degradation	triacylglyceride degradation	triacylglycerol hydrolysis	lipolysis
PWY0-1337	oleate &beta;-oxidation	
PWY0-1391	<i>S</i>-methyl-5'-thioadenosine degradation IV	methylthioadenosine degradation IV
PWY0-1296	purine ribonucleosides degradation to ribose-1-phosphate	
PWY-7179	purine deoxyribonucleosides degradation to 2'-deoxyribose-1-phosphate	
PWY-5497	purine nucleotides degradation IV (anaerobic)	purine fermentation
PWY0-1295	pyrimidine ribonucleosides degradation I	
PWY-7181	pyrimidine deoxyribonucleosides degradation to 2'-deoxyribose 1-phosphate	
PWY-5350	thiosulfate disproportionation III (rhodanese)	
PWY-6018	seed germination protein turnover	
PWY-5988	wound-induced proteolysis I	
P3-PWY	gallate degradation III (anaerobic)	
PWY0-321	phenylacetate degradation I (aerobic)	
